COD_LOC,NOMBRE_LOC,CP,POBLACION,OFICINA,PROVINCIA,COD_PROY,ID_EVALUACION,Fecha de ejecucion,COD_AUDITOR,RESULTADO,TITULO_CUESTIONARIO
944,944,17160,ANGLÉS,SGS,GIRONA,0200_001,2012585,6/11/14,R29462,0.9167,DIA SAN ANTONIO COMPRA PROGRAMADA
575,575,8019,BARCELONA,SGS,BARCELONA,0197_002,2012586,6/10/14,29462,0.8,DIA SABADELL COMPRA PROGRAMADA
750,750,8027,BARCELONA,SGS,BARCELONA,0197_002,2012587,6/12/14,29462,0.75,DIA SABADELL COMPRA PROGRAMADA
673,673,8913,BADALONA,SGS,BARCELONA,0197_002,2012588,6/11/14,127,0.5359,DIA SABADELL COMPRA PROGRAMADA
TEST,TEST,28000,TEST,SGS,MADRID,465_001,2012599,6/10/14,TEST,0.8525,Cuestionario Yves Rocher Mystery Presencial 2014
5,MADRID - LA VAGUADA,28029,MADRID,SGS,MADRID,465_001,2012602,6/12/14,33571,0.8035,Cuestionario Yves Rocher Mystery Presencial 2014
47,MADRID XI - PZA ALUCHE,28044,MADRID,SGS,MADRID,465_001,2012612,6/12/14,31157,0.7838,Cuestionario Yves Rocher Mystery Presencial 2014
63,TORREJON DE ARDOZ,28850,TORREJON DE ARDOZ,SGS,MADRID,465_001,2012618,6/12/14,33642,0.7852,Cuestionario Yves Rocher Mystery Presencial 2014
84,VALLADOLID III - CC.VALLSUR,47008,VALLADOLID,SGS,VALLADOLID,465_001,2012629,6/13/14,30462,0.5764,Cuestionario Yves Rocher Mystery Presencial 2014
89,CIUDAD REAL,13004,CIUDAD REAL,SGS,CIUDAD REAL,465_001,2012631,6/14/14,34178,0.7985,Cuestionario Yves Rocher Mystery Presencial 2014
131,ZARAGOZA VIII - GRANCASA,50018,ZARAGOZA,SGS,ZARAGOZA,465_001,2012638,6/13/14,31289,0.8631,Cuestionario Yves Rocher Mystery Presencial 2014
146,ALCORCON III - CC TresAguas,28922,ALCORCON,SGS,MADRID,465_001,2012640,6/13/14,33289,0.8601,Cuestionario Yves Rocher Mystery Presencial 2014
160,ALCORCON IV - MAYOR,28921,ALCORCON,SGS,MADRID,465_001,2012647,6/13/14,33289,0.7021,Cuestionario Yves Rocher Mystery Presencial 2014
145,CARTAGENA,30201,CARTAGENA,SGS,MURCIA,465_001,2012655,6/13/14,34001,0.8123,Cuestionario Yves Rocher Mystery Presencial 2014
29,ALICANTE II - CALDERON BARCA,3004,ALICANTE,SGS,ALICANTE,465_001,2012656,6/13/14,32451,0.8585,Cuestionario Yves Rocher Mystery Presencial 2014
